name,category,subCategory,launched,deadline,result,backers,country,pledged,goal
McWeb 3,Software,Technology,2017/07/12,2017-08-31,failed,2,Germany,120.39,7151.97
ECG-Guard - monitor and increase your health level,Wearables,Technology,2017/07/12,2017-08-21,failed,13,Germany,29163.52,177120.73
Yalla Habibi - Living with War in Aleppo,Photobooks,Photography,2017/07/12,2017-08-11,successful,342,Germany,24551.17,17647.47
Turn around your UNIVERSE!,Product Design,Design,2017/07/11,2017-08-25,successful,31,Germany,14025.6,11808.05
Michl Heat pumps - the future of home heating,Technology,Technology,2017/07/11,2017-08-25,failed,0,Germany,0,23616.1
Swapsnap: Your Pictures Reinvented,Product Design,Design,2017/07/11,2017-08-22,canceled,23,Germany,2316.74,7084.83
A cowboy's work is never done: 15 years of heliumcowboy,Art Books,Publishing,2017/07/11,2017-08-10,failed,30,Germany,8504.91,35294.95
Another iOS app for gym,Apps,Technology,2017/07/11,2017-08-10,failed,0,Germany,0,588.25
MASANA Studios,Music,Music,2017/07/11,2017-08-08,failed,0,Germany,0,9411.99
Nesciamus - Ein Rollenspiel mit und ohne Spielleiter,Games,Games,2017/07/11,2017-08-01,successful,38,Germany,2844.77,1186.8
3 Axis Ready to Go CNC Control,Hardware,Technology,2017/07/10,2017-08-09,failed,3,Germany,163.53,5882.49
DEMIURGOS: Path of the Leviathan,Video Games,Games,2017/07/10,2017-08-09,failed,209,Germany,5717.78,9411.99
Heart over Hate Clothing,Apparel,Fashion,2017/07/10,2017-07-25,failed,6,Germany,228.71,5864.48
Die kleine Maus und die große Welt,Children's Books,Publishing,2017/07/10,2017-07-24,failed,0,Germany,0,5864.48
Job2buy,Web,Technology,2017/07/09,2017-08-08,failed,5,Germany,96.47,294124.57
Blood Is Spirit – Short Film Project,Shorts,Film & Video,2017/07/09,2017-08-08,failed,4,Germany,105.88,1764.75
SMUUS IMPEACHMENT,Food,Food,2017/07/09,2017-08-08,failed,19,Germany,1383.56,11764.98
TABLETOP BASEMENT - 28mm TABLETOP TERRAIN - TOWNHOUSE SERIES,Tabletop Games,Games,2017/07/09,2017-08-08,successful,33,Germany,3621.26,3529.49
Dein Radio Sonneberg mit 3D Chat Moderation,Music,Music,2017/07/09,2017-07-24,failed,0,Germany,0,11728.97
"intelligent bracelets, adjustable, vegan, easy to clean",Jewelry,Fashion,2017/07/09,2017-07-19,successful,3,Germany,179.29,174.63
Tres Marias - Nice to Meat CD-Produktion 2017,Rock,Music,2017/07/08,2017-08-12,failed,23,Germany,660.69,1297.27
Brettspiel-Cafe Würfel & Zucker,Tabletop Games,Games,2017/07/08,2017-08-07,successful,222,Germany,7107.36,5882.49
"""I kissed a Girl..."" Sailor Moon Enamel Pin Haruka & Usagi",Crafts,Crafts,2017/07/08,2017-08-03,failed,18,Germany,390.46,771.42
Skydorado,Software,Technology,2017/07/07,2017-08-21,failed,1,Germany,11.81,76752.31
New Shoes for Krishna,Documentary,Film & Video,2017/07/07,2017-08-16,failed,13,Germany,2596.88,14674.98
my second photography exhibition,Fine Art,Photography,2017/07/07,2017-08-06,canceled,4,Germany,491.78,588.25
FAR AWAY travel set: Amazing backpack and shoulder bag.,Product Design,Design,2017/07/07,2017-08-06,failed,42,Germany,4807.17,17647.47
To set up the first online platform for Technology education,Web,Technology,2017/07/06,2017-09-04,failed,1,Germany,10.85,180899.43
DAVOSS-Watches | est. 2017,Design,Design,2017/07/06,2017-08-05,canceled,8,Germany,507.07,21176.97
The Brominocs on Tour - storytellers for children,Theater,Theater,2017/07/06,2017-08-05,failed,3,Germany,114.12,1764.75
La Cosa Nostra – Guns For Hire,Tabletop Games,Games,2017/07/06,2017-08-04,successful,717,Germany,23145.03,2967.01
NOTO NINJA - A GAME CHANGER FOR CREATIVES,Product Design,Design,2017/07/06,2017-07-26,failed,16,Germany,577.07,4926.17
COVR LOVE – your own photo or art as inspiring quote poster,Graphic Design,Design,2017/07/05,2017-08-06,canceled,15,Germany,658.84,7058.99
Scarfface - THE URBAN SCARF COMPANY!,Accessories,Fashion,2017/07/05,2017-08-04,failed,2,Germany,121.05,1780.2
RUCKZACK – your perfect summer bag,Product Design,Design,2017/07/05,2017-08-04,failed,25,Germany,1471.64,9494.42
Development of efficient Quiz-Generators & Tests with Excel,Apps,Technology,2017/07/05,2017-07-20,failed,0,Germany,0,686.88
G.i.L (Go in Light) by VennTec GmbH,Technology,Technology,2017/07/04,2017-08-31,failed,3,Germany,47.68,11919.95
Badewannenabdeckung Bath Cover www.badewannenabdeckung.com,Crafts,Crafts,2017/07/04,2017-08-23,failed,2,Germany,400.29,23616.1
Airpaq - The Backpack Made From Airbags and Seat Belts,Accessories,Fashion,2017/07/04,2017-08-10,successful,509,Germany,82121.93,11764.98
Probabilistic Data Structures and Algorithms,Nonfiction,Publishing,2017/07/04,2017-08-07,failed,11,Germany,262.36,4581.28
L E N N E Outdoor Jacket by NORDWÄRTS - Made of Nature,Apparel,Fashion,2017/07/04,2017-08-03,successful,59,Germany,13866.6,11868.03
The Lotus and the Artichoke - INDIA vegan cookbook,Vegan,Food,2017/07/04,2017-08-03,successful,1165,Germany,37212.21,11868.03
A Manga inspired by the film matrix,Comics,Comics,2017/07/04,2017-08-03,failed,2,Germany,35.6,593.4
miete-meine-drohne.de,Web,Technology,2017/07/04,2017-08-03,failed,4,Germany,14.24,17802.04
MAKE YOUR CHOICE,Tabletop Games,Games,2017/07/03,2017-08-17,canceled,0,Germany,0,82179.88
Jam Connect - Die Plattform für Künstler und Kreative,R&B,Music,2017/07/03,2017-08-15,failed,0,Germany,0,29349.96
Macoco,Mobile Games,Games,2017/07/03,2017-08-02,failed,0,Germany,0,1186.8
"Debütalbum - The Late Night Call - ""Indirect Lines""",Rock,Music,2017/07/03,2017-08-02,successful,93,Germany,3960.86,3560.41
Mini pillar with colour change and changeable layout,Candles,Crafts,2017/07/03,2017-08-02,failed,2,Germany,119.87,5340.61
Falkenwelt Modellbau modular sewage conduit!,Tabletop Games,Games,2017/07/03,2017-08-02,failed,3,Germany,8.31,118.68
Breaktive,Playing Cards,Games,2017/07/03,2017-07-24,failed,10,Germany,360.08,7623.83
Expedition to ruins of past high culture of Chachapoya,Places,Photography,2017/07/02,2017-08-01,successful,50,Germany,7453.12,7120.82
Swedish Posture - entwickle deine Körperhaltung!,Product Design,Design,2017/07/02,2017-07-14,successful,121,Germany,15556.37,14268.75
Marimba solo recording,Classical Music,Music,2017/07/01,2017-08-10,failed,2,Germany,94.12,7058.99
Arab/Jewish Citizens Theater Project / Pascal Rambert,Plays,Theater,2017/07/01,2017-07-30,failed,20,Germany,802.28,17802.04
MABOU — THE BAG FOR YOUR BAG,Fashion,Fashion,2017/07/01,2017-07-22,failed,41,Germany,3818.95,4691.59
Abstract Contrasts,Illustration,Art,2017/07/31,2017-08-08,suspended,5,Denmark,269.72,126.56
FLOWER MEN,Photobooks,Photography,2017/07/30,2017-08-29,successful,262,Denmark,14558.16,12019.62
airU: Made to set you free,Product Design,Design,2017/07/28,2017-08-27,failed,9,Denmark,713.16,9615.69
Transcendent sound,Music,Music,2017/07/28,2017-08-27,failed,1,Denmark,16.03,4006.54
Botanical Illustrations,Illustration,Art,2017/07/25,2017-08-02,suspended,7,Denmark,224.96,63.82
Laurentin Cosmos - Gender Equality through fashion,Fashion,Fashion,2017/07/23,2017-08-23,failed,6,Denmark,1036.49,95236.58
"""My Subscriptions"" App",Apps,Technology,2017/07/23,2017-08-06,failed,7,Denmark,36.54,2372.93
Escape game fyn,Live Games,Games,2017/07/21,2017-08-20,failed,1,Denmark,3.33,7936.38
World Of Abstract 2,Painting,Art,2017/07/18,2017-07-26,successful,4,Denmark,298.1,78.86
Fool's Paradise studio recording,Rock,Music,2017/07/15,2017-08-24,failed,2,Denmark,82.7,2380.91
Pastel Magic,Painting,Art,2017/07/10,2017-07-25,canceled,0,Denmark,0,126.18
Music in Translation,Documentary,Film & Video,2017/07/09,2017-09-07,failed,8,Denmark,2082.89,8104.65
Writer needs help with funding a book. An editor's fee,Fiction,Publishing,2017/07/06,2017-08-05,failed,0,Denmark,0,601.14
"""Between the Dusk of a Summer Night"" by Sebastian Zawadzki",Classical Music,Music,2017/07/06,2017-08-05,failed,9,Denmark,289.5,3163.91
Shapes and Colors,Painting,Art,2017/07/05,2017-07-12,canceled,2,Denmark,96.7,61.4
CRAZY WORLD ILOGIC,Mixed Media,Art,2017/07/31,2017-09-14,failed,0,Spain,0,1196.3
"""Portraits of women"" Limited edition prints",Illustration,Art,2017/07/30,2017-08-19,successful,10,Spain,123.98,118.08
Vizy - World’s Safest Car Mount. Period.,Technology,Technology,2017/07/28,2017-09-11,canceled,169,Spain,4580.64,9570.41
Final Boss: The card game,Tabletop Games,Games,2017/07/28,2017-08-27,successful,717,Spain,28743.76,10727.95
The future is female - Enamel Pins,Accessories,Fashion,2017/07/28,2017-08-27,successful,3,Spain,60.79,59.6
Chance to dinner,Restaurants,Food,2017/07/26,2017-08-25,canceled,0,Spain,0,88560.36
short film called * Hanaan * true story,Drama,Film & Video,2017/07/26,2017-08-20,failed,0,Spain,0,15350.46
Singled [Out]: a film about single women in an era of choice,Documentary,Film & Video,2017/07/25,2017-08-24,successful,302,Spain,25686.05,23616.1
Binokers. Transform your ideas into 3D printed sunglasses,Accessories,Fashion,2017/07/25,2017-08-24,failed,62,Spain,20100.84,35424.15
The Yepas (Goblins) Warband,Tabletop Games,Games,2017/07/25,2017-08-09,successful,44,Spain,2969.48,941.2
GrowChef - a pod of greens every single day!,Product Design,Design,2017/07/23,2017-08-30,successful,241,Spain,46543.54,26223.88
Guitarra Flamenca para el mundo,Music,Music,2017/07/22,2017-08-31,failed,12,Spain,603.15,8343.96
Descenso- A procedural Lovecraftian/Cthuluidean videogame,Video Games,Games,2017/07/21,2017-08-30,failed,28,Spain,1029.88,4171.98
Cafemaker Latte Art Printer& second generation,3D Printing,Technology,2017/07/21,2017-08-20,suspended,1,Spain,1.18,59040.24
La vida en España-Documental,Documentary,Film & Video,2017/07/20,2017-08-19,failed,1,Spain,24.8,7084.83
Invaders Short Film,Action,Film & Video,2017/07/19,2017-08-28,failed,14,Spain,2331.54,5959.97
LAG- Liga Amateur de Videojuegos. Jugar y llegar a la cima.,Video Games,Games,2017/07/19,2017-08-18,canceled,0,Spain,0,17609.97
RN estudio Reapers Fantasy Football Team,Games,Games,2017/07/19,2017-08-08,successful,93,Spain,8051.95,1176.5
"Chasing the Stars, a BL Yaoi Visual Novel",Video Games,Games,2017/07/18,2017-08-17,successful,278,Spain,5516.62,1761
Apollo penlight project.,Gadgets,Technology,2017/07/18,2017-08-12,successful,191,Spain,25958.28,14051.59
Cthulhu Tarot Cards (Major Arcana),Playing Cards,Games,2017/07/18,2017-08-08,successful,356,Spain,15969.79,1176.5
GiGS!,Apps,Technology,2017/07/17,2017-09-15,failed,3,Spain,49.05,8972.26
CLASSIC HOT ROD. TUAUTO,Product Design,Design,2017/07/17,2017-08-21,successful,21,Spain,2214.01,1771.21
Lovely Eva-01 Enamel Pin by Mir Mochi,Art,Art,2017/07/17,2017-08-16,successful,51,Spain,577.61,387.42
THE WORLD OF KANJI,Academic,Publishing,2017/07/17,2017-08-16,successful,2044,Spain,100561.17,14087.98
Survival Horror - In My Pocket,Tabletop Games,Games,2017/07/16,2017-08-10,successful,59,Spain,4371.87,1764.75
Barcelona Bullets (FPS multiplayer game),Video Games,Games,2017/07/14,2017-08-13,failed,2,Spain,48.13,1761
Medieval signs with your name,Mixed Media,Art,2017/07/14,2017-08-03,canceled,7,Spain,71.21,237.36
PicKer- Soporte Porta Púas de Guitarra,Accessories,Fashion,2017/07/13,2017-07-28,canceled,9,Spain,361.25,11727.79
VR Solar Game,Video Games,Games,2017/07/12,2017-09-10,failed,4,Spain,241.65,299075.26
By Puretas,Apparel,Fashion,2017/07/12,2017-08-11,failed,0,Spain,0,7058.99
Lement Timepieces: Swiss Mechanical Luxury Watches,Design,Design,2017/07/12,2017-07-22,canceled,14,Spain,4403.05,16420.55
Play And Drink,Tabletop Games,Games,2017/07/11,2017-08-15,canceled,2,Spain,37.57,2582.8
Let's Launch Super Neon Ball on the Apple App Store!,Mobile Games,Games,2017/07/11,2017-08-10,failed,0,Spain,0,705.9
Chapter III - Clanking Muscles,Animation,Film & Video,2017/07/10,2017-09-08,failed,7,Spain,289.44,2411.99
ViLeague,Video Games,Games,2017/07/10,2017-08-09,canceled,0,Spain,0,47059.93
Veil Valley - Next Gen Horror Experience,Video Games,Games,2017/07/10,2017-08-03,failed,6,Spain,276.53,790.41
Xmas-lights WiFi frame (ouija) inspired in Stranger Things,Makerspaces,Technology,2017/07/09,2017-08-08,failed,4,Spain,550.6,23529.97
Ghostsong - new album of Nige Bray,Music,Music,2017/07/08,2017-08-27,failed,11,Spain,623.41,5959.97
TARA,Fiction,Publishing,2017/07/07,2017-08-21,failed,1,Spain,1.18,11808.05
Merbit,Web,Technology,2017/07/07,2017-08-21,failed,0,Spain,0,11808.05
"Primer Álbum de Lord Of The Flies: ""Chapter One""",Rock,Music,2017/07/07,2017-08-16,failed,8,Spain,421.47,8217.99
Mother of Dragons,Art,Art,2017/07/07,2017-08-06,failed,3,Spain,200,588.25
Rise of Man,Video Games,Games,2017/07/06,2017-08-05,canceled,38,Spain,1283.56,52942.42
Notebook: Sword of Power,Design,Design,2017/07/06,2017-07-16,canceled,0,Spain,0,2328.4
ECOclubcleaner,DIY Electronics,Technology,2017/07/05,2017-09-03,failed,2,Spain,44.62,241199.24
What´s Up Travel. Plataforma turística personalizada,Web,Technology,2017/07/05,2017-08-04,failed,0,Spain,0,26703.06
Night Clan,Tabletop Games,Games,2017/07/05,2017-08-04,successful,1254,Spain,23275.58,7120.82
PAN DE MASA MADRE EN LAS MATAS,Food,Food,2017/07/05,2017-08-04,failed,20,Spain,1358.89,2729.65
Taste Of Horror,Tabletop Games,Games,2017/07/05,2017-08-04,successful,27,Spain,2637.08,593.4
Custom made keychains with your name.,Accessories,Fashion,2017/07/03,2017-07-18,canceled,0,Spain,0,116.42
AGUAStudio co: Limited Edition Clothes,Apparel,Fashion,2017/07/01,2017-07-31,failed,0,Spain,0,3560.41
"Neskee - Apprenez à bas coût, formez quand vous voulez !",Web,Technology,2017/07/31,2017-08-30,failed,23,France,1426.82,11919.95
Plus qu un bijou / More than a jewel,Jewelry,Fashion,2017/07/31,2017-08-30,failed,3,France,106.09,4767.98
Bannière Metallica 2017,Illustration,Art,2017/07/31,2017-08-25,successful,7,France,236.16,236.16
OLYMPUSS,Playing Cards,Games,2017/07/29,2017-08-28,failed,17,France,340.91,2383.99
Pip Knight's Andy,Children's Books,Publishing,2017/07/27,2017-08-31,failed,32,France,2360.15,5959.97
The Blueming Project,Product Design,Design,2017/07/27,2017-08-26,failed,14,France,336.14,59599.73
Masala Chai,Drinks,Food,2017/07/26,2017-09-09,failed,1,France,71.78,23926.02
Muonium,Technology,Technology,2017/07/25,2017-09-23,successful,8,France,11807.14,11805.96
OneLeague,Apps,Technology,2017/07/25,2017-08-24,failed,12,France,1783.02,64944.27
"hihilulu, the Personalized Platform for Kid to Learn Chinese",Academic,Publishing,2017/07/25,2017-08-24,failed,14,France,989.51,23616.1
"Skate Art - Art, Illustration, Design & Broken Boards",Art Books,Publishing,2017/07/24,2017-09-07,successful,147,France,11236.27,9647.97
Silver Crystal enamel pins,Product Design,Design,2017/07/24,2017-08-23,successful,191,France,8563.2,1180.8
PARIS ON FIRE : CD/DVD Musique-Fiction,Pop,Music,2017/07/24,2017-08-23,failed,49,France,2343.9,118080.48
Dressed Me,Apps,Technology,2017/07/24,2017-08-23,failed,5,France,172.4,20664.08
BADDY - Open Source Badminton Robot!,Robots,Technology,2017/07/23,2017-08-22,failed,27,France,9816.03,59040.24
The Ghost Planet - A gamebook where YOU are the hero (EN/FR),Games,Games,2017/07/22,2017-09-05,successful,26,France,630.74,482.4
Escape the Boardgame 2nd Edition : Rebellion and Revolution,Tabletop Games,Games,2017/07/20,2017-08-03,successful,381,France,41930.93,17802.04
CroqueCél - Des bijoux pour maman à croquer par bébé,Jewelry,Fashion,2017/07/19,2017-08-31,failed,1,France,25.03,1430.39
AXIOM Watches,Product Design,Design,2017/07/17,2017-08-16,successful,54,France,35005.11,34867.75
Les Hermétiques,Science Fiction,Film & Video,2017/07/17,2017-08-16,successful,2,France,234.8,234.8
Alta Strada,Documentary,Film & Video,2017/07/14,2017-08-13,successful,21,France,1274.96,1174
Win-wards.com,Games,Games,2017/07/13,2017-09-11,failed,1,France,25.12,9570.41
"ART's PLANET 2017 - Climate, Migration and Solidarity",Mixed Media,Art,2017/07/13,2017-09-01,failed,10,France,5304.38,14303.93
"first book writing, Thriller, Fiction, Horror!",Fiction,Publishing,2017/07/13,2017-08-27,failed,13,France,328.99,4171.98
Kawaii Bunny Hard Enamel Pins,Art,Art,2017/07/13,2017-08-12,successful,27,France,759.58,645.7
Coacheeng lie coach et citoyen en recherche d’épanouissement,Web,Technology,2017/07/13,2017-07-28,failed,1,France,24.63,4691.59
Digging - The real time search engine for music diggers,Software,Technology,2017/07/12,2017-08-26,failed,0,France,0,14303.93
Rethraust : toute la passion auto autour d'un seul mot.,Video,Journalism,2017/07/12,2017-08-17,failed,1,France,58.7,12561.78
"myOwlMarket, free marketplace solution",Web,Technology,2017/07/12,2017-08-11,canceled,0,France,0,11764.98
GamingSins FR,Webseries,Film & Video,2017/07/11,2017-09-09,failed,0,France,0,239.26
Napoléon et le leadership,Academic,Publishing,2017/07/11,2017-09-09,failed,5,France,339.75,11963.01
Renzi travel journals and maps (English Version),Publishing,Publishing,2017/07/11,2017-08-10,failed,10,France,195.3,5882.49
"Cursed Watches, Watch inspired by metal music and tatoo",Accessories,Fashion,2017/07/11,2017-08-10,failed,24,France,3315.37,23529.97
Easy Flip Grill - The Revolution,Product Design,Design,2017/07/10,2017-08-13,failed,17,France,1188.09,58699.91
Desiderio Ensemble Inaugural Concert: Mahler and Thuille,Classical Music,Music,2017/07/10,2017-08-09,successful,33,France,4415.4,3529.49
Solo?,Design,Design,2017/07/10,2017-08-09,failed,4,France,89.41,11764.98
WHISPER OF A SHADOW - Homage to Louis Moreau Gottschalk,Music,Music,2017/07/10,2017-08-09,successful,92,France,24307.63,22941.72
Gazette du wargamer - Numéro 0 - Été 2017,Web,Journalism,2017/07/10,2017-07-25,successful,24,France,1179.93,1172.9
GREET: A NEW STREAMING APP,Apps,Technology,2017/07/09,2017-08-09,failed,0,France,0,3529.49
The Tale of Rimco,Video Games,Games,2017/07/07,2017-09-05,failed,9,France,495.66,6029.98
LIGHTPACK: The World’s 1st Electroluminescent Backpack,Product Design,Design,2017/07/07,2017-08-16,failed,11,France,2614.49,70439.9
Handshields Playing Cards Modern Edition,Playing Cards,Games,2017/07/07,2017-08-06,successful,117,France,8100.19,5882.49
Chameleon ºººº dress up with fun!,Childrenswear,Fashion,2017/07/07,2017-08-06,failed,3,France,29.41,11764.98
4.48 Psychose / Film interactif / Théâtre,Narrative Film,Film & Video,2017/07/07,2017-07-31,failed,0,France,0,1898.88
Pics for Earth,Journalism,Journalism,2017/07/06,2017-08-10,canceled,0,France,0,16470.98
Ultra High Performance 3D FDM Printing System,3D Printing,Technology,2017/07/06,2017-08-05,failed,19,France,2423.59,18823.97
FITCAZE | The iPhone case that does MORE.,Technology,Technology,2017/07/06,2017-08-01,failed,360,France,29496.8,41538.1
XTRMPOST: The ultimate carrier,Web,Technology,2017/07/04,2017-08-13,failed,1,France,10.57,293499.57
La Brigade : un hôtel itinérant,Nature,Photography,2017/07/04,2017-08-08,successful,94,France,12114.4,11764.98
Aurelie Lecuyer,Apparel,Fashion,2017/07/04,2017-07-25,successful,159,France,33051.06,28149.52
Musée Immédiat - ESSARTER éditions,Art Books,Publishing,2017/07/03,2017-08-12,successful,76,France,7461.93,7043.99
"first book writing, Thriller, Fiction, Horror",Fiction,Publishing,2017/07/01,2017-07-31,canceled,3,France,77.14,4153.81
Food-Innovation Technology- Harnessing power of Sweet Potato,Food,Food,2017/07/31,2017-09-29,failed,0,Great Britain,0,51547.08
PuraAwaken,Fashion,Fashion,2017/07/31,2017-09-07,failed,1,Great Britain,23.78,4624.86
"The Elven Chest: a Deck Box, Dice Box, or Fantasy Coin Chest",Tabletop Games,Games,2017/07/31,2017-09-05,successful,499,Great Britain,25962.63,1057.11
HORIZON: The World’s Best Reusable Luggage Cover,Product Design,Design,2017/07/31,2017-09-01,failed,8,Great Britain,552.79,12945.99
FICKL | The Recommendation App,Apps,Technology,2017/07/31,2017-09-01,failed,5,Great Britain,130.75,3883.8
Pink Feathers,Documentary,Film & Video,2017/07/31,2017-08-30,successful,48,Great Britain,3605.46,3236.5
Spiders from Meres,Public Art,Art,2017/07/31,2017-08-30,failed,2,Great Britain,59.55,1941.9
TheLoonyLahi - An animation channel on youtube,Webcomics,Comics,2017/07/31,2017-08-30,failed,0,Great Britain,0,300.35
"Ace and Cup""The most unlikely friends""Unicorn Slippers/Plush",Footwear,Fashion,2017/07/31,2017-08-30,canceled,1,Great Britain,48.55,45310.96
Boiled egg soft enamel pin 30mm,Art,Art,2017/07/31,2017-08-30,successful,20,Great Britain,327.53,323.65
Monster,Plays,Theater,2017/07/31,2017-08-30,successful,9,Great Britain,6450.99,4531.1
Dark Lord Miniatures: Dungeon Foundation Set,Tabletop Games,Games,2017/07/31,2017-08-30,successful,50,Great Britain,9156.7,1941.9
We're just like you - photobook,Photobooks,Photography,2017/07/31,2017-08-30,canceled,0,Great Britain,0,194.19
By All Means: A Rock 'n Roll Story,Documentary,Film & Video,2017/07/31,2017-08-30,failed,56,Great Britain,13462.53,32364.97
Bake of Hungary,Food,Food,2017/07/31,2017-08-30,failed,3,Great Britain,59.55,38837.97
Battle For Enkeon: A new turn-based sci-fi shooter for PC,Video Games,Games,2017/07/31,2017-08-30,canceled,21,Great Britain,1449.95,19418.98
Juxtaposition - Hard Enamel Pin Series,Accessories,Fashion,2017/07/31,2017-08-30,failed,21,Great Britain,464.76,1294.6
"""Werewolves Are People Too!"" Zine",Illustration,Art,2017/07/31,2017-08-20,successful,12,Great Britain,234.66,102.59
Woof! Woof! Commission a portrait of your pet,Digital Art,Art,2017/07/31,2017-08-20,failed,0,Great Britain,0,256.46
Star Trek Cast Portraits,Photobooks,Photography,2017/07/31,2017-08-17,failed,3,Great Britain,984.9,3218.62
US-IMF : 28mm & 15mm Sci-fi Armour,Tabletop Games,Games,2017/07/31,2017-08-16,successful,252,Great Britain,45840.25,7724.69
Summer Dance Courses,Workshops,Dance,2017/07/31,2017-08-15,successful,3,Great Britain,2574.9,2574.9
Japanese Sakura Folding Fan Pin Badge,Graphic Design,Design,2017/07/31,2017-08-12,successful,27,Great Britain,525.28,476.36
wHEALTH app: Attend Your Forecasted Exercise or Donate,Apps,Technology,2017/07/30,2017-08-29,failed,1,Great Britain,1.29,1294.6
The Ink Witch Comic,Comic Books,Comics,2017/07/30,2017-08-29,successful,107,Great Britain,1752.89,517.84
Iconic/Inspirational Figures - Urban Paintings,Painting,Art,2017/07/30,2017-08-29,successful,2,Great Britain,134.64,129.46
Made by Oneke,Fashion,Fashion,2017/07/30,2017-08-29,successful,17,Great Britain,1294.6,1294.6
Station 111 Pre-printed MDF Terrain and Gaming Mat.,Tabletop Games,Games,2017/07/30,2017-08-29,successful,44,Great Britain,8768.32,1941.9
Pikamoon Enamel Pin 40mm Glitter Soft Enamel Pin!,Digital Art,Art,2017/07/30,2017-08-19,successful,11,Great Britain,351.35,346.22
NB-IoT BLE Gateway & Soil Sensor for Vodafone Network,Hardware,Technology,2017/07/30,2017-08-14,failed,3,Great Britain,162.22,69522.23
Recording Our Debut Album,Country & Folk,Music,2017/07/29,2017-09-19,successful,114,Great Britain,4784.12,3392.04
HANDYBLEND: THE EVERYDAY PORTABLE MICROBLENDER,Product Design,Design,2017/07/29,2017-09-07,canceled,56,Great Britain,2759.06,39641.64
Tubular Buildings by Wargame-Model-Mods,Tabletop Games,Games,2017/07/29,2017-09-04,successful,307,Great Britain,39843.81,660.69
Vulture Skull Enamel Pin,Accessories,Fashion,2017/07/29,2017-08-28,failed,20,Great Britain,247.27,517.84
Second Class Entertainment - For The Creativity In All Of Us,Comedy,Theater,2017/07/29,2017-08-28,failed,1,Great Britain,1.29,5825.7
Organic Vegan Skincare,Fashion,Fashion,2017/07/29,2017-08-28,failed,3,Great Britain,63.44,4531.1
Manual Phone Case Charger,Product Design,Design,2017/07/29,2017-08-28,failed,9,Great Britain,822.07,12945.99
Triplicate,Shorts,Film & Video,2017/07/29,2017-08-25,failed,22,Great Britain,1305.4,3349.41
Magna Cat Toilet - The world's first extendable cat toilet!,Product Design,Design,2017/07/28,2017-09-06,failed,2,Great Britain,27.75,165173.5
28mm Army of Spartacus,Tabletop Games,Games,2017/07/28,2017-09-03,canceled,10,Great Britain,658.05,2907.05
These Little Words'- The Final Hurdle!,Country & Folk,Music,2017/07/28,2017-09-01,successful,24,Great Britain,480.3,453.11
"Proceed - A Beautiful, Terrifying , 2D Universe",Video Games,Games,2017/07/28,2017-08-28,failed,97,Great Britain,6621.87,27186.58
"RAINBOW Wizard Of Oz Enamel Keyring, Necklace & Patch",Illustration,Art,2017/07/28,2017-08-27,successful,40,Great Britain,932.11,582.57
Opus Dei - Feature Length Neo-Noir Horror,Narrative Film,Film & Video,2017/07/28,2017-08-27,failed,23,Great Britain,2217.65,19418.98
"Brazil, Afro-Brazilians And Carnival",Journalism,Journalism,2017/07/28,2017-08-27,failed,1,Great Britain,12.95,5178.4
Lamb's Ear,Poetry,Publishing,2017/07/28,2017-08-27,successful,32,Great Britain,845.37,712.03
AmaiVegan: Vegan Friendly Japanese Snack Box,Vegan,Food,2017/07/28,2017-08-27,successful,52,Great Britain,3944.64,3689.61
Bee,Video Games,Games,2017/07/28,2017-08-27,canceled,32,Great Britain,1055.1,64729.95
"The Terminator ™ multimedia speaker, built-in Amazon Alexa",Sound,Technology,2017/07/28,2017-08-27,failed,84,Great Britain,30512.4,174770.86
Hopeful Traders: Clothing Brand Collaboration With Homeless,Apparel,Fashion,2017/07/28,2017-08-27,failed,63,Great Britain,4405.52,10356.79
Almost Always Muddy: immersive playful family theatre,Immersive,Theater,2017/07/28,2017-08-27,successful,271,Great Britain,16866.03,16182.49
Sullivan's Summer - An Overcast Exploration of Wild Scotland,Experimental,Film & Video,2017/07/28,2017-08-25,canceled,31,Great Britain,1391.31,5129.26
Happenstance,Shorts,Film & Video,2017/07/28,2017-08-17,failed,48,Great Britain,4654.13,32186.22
Worship album from Jay Norris & stjohnshw,Faith,Music,2017/07/27,2017-09-25,failed,37,Great Britain,5194.87,10041.64
RED - Male portraits by Myrkky Photography,Photobooks,Photography,2017/07/27,2017-09-11,successful,76,Great Britain,5380.73,4755.69
BlinkLight: Animated bike led indicators and automatic stop,Gadgets,Technology,2017/07/27,2017-09-10,successful,360,Great Britain,19571.72,3396.92
Green Man Honey,Farmer's Markets,Food,2017/07/27,2017-08-31,canceled,4,Great Britain,99.68,5825.7
The Frank Collection | Perrymans Fine Woodworking,Product Design,Design,2017/07/27,2017-08-26,successful,87,Great Britain,11780.85,11651.39
Automotive Router 850 with OBDII,Hardware,Technology,2017/07/27,2017-08-26,canceled,2,Great Britain,393.56,388379.68
Keep The Faith - The UK’s #1 BME community-focused magazine,Publishing,Publishing,2017/07/27,2017-08-26,failed,11,Great Britain,545.03,77675.94
Hobby Hydraulics,Robots,Technology,2017/07/27,2017-08-26,failed,3,Great Britain,27.33,12945.99
Feminisms x The Arab and Muslim Diaspora,Art,Art,2017/07/27,2017-08-23,successful,77,Great Britain,3081.4,2564.63
Fifty Pence and a Bowl of Soup (Debut Book),Nonfiction,Publishing,2017/07/27,2017-08-21,canceled,14,Great Britain,1769.59,5610.13
