name,category,subCategory,launched,deadline,result,backers,country,pledged,goal
In The Studio:,Documentary,Film & Video,2017/07/23,2017-09-06,canceled,1,US,40,3000
STRIVER STEM - Learning Kit for All Ages,Makerspaces,Technology,2017/07/23,2017-09-06,failed,10,CA,783.49,82733.52
Segway Boise,Live Games,Games,2017/07/23,2017-09-02,failed,2,US,225,7000
Francesca's Italian Kitchen Cookbook,Cookbooks,Food,2017/07/23,2017-09-01,failed,82,NZ,6659.26,32239.58
Chef Ameil's Gourmet Experience Restaurant,Restaurants,Food,2017/07/23,2017-09-01,failed,0,US,0,28000
Emerald August's Guide to All Things Goldfish,Children's Books,Publishing,2017/07/23,2017-09-01,failed,8,US,187,2800
GoNeighbor,Apps,Technology,2017/07/23,2017-09-01,canceled,1,US,20,30000
GrowChef - a pod of greens every single day!,Product Design,Design,2017/07/23,2017-08-30,successful,241,ES,46543.54,26223.88
RAV App: College Events On-Demand,Apps,Technology,2017/07/23,2017-08-27,failed,4,US,53,12500
The Fringe Knight issue #1,Comic Books,Comics,2017/07/23,2017-08-26,successful,43,US,791,700
IV Festival Internacional de Jazz Jorge Martinez Zapata,Jazz,Music,2017/07/23,2017-08-25,failed,27,MX,685.47,9630.64
"Elliot Mason - Before, Now & After (debut solo album)",Jazz,Music,2017/07/23,2017-08-23,successful,186,US,15180,15000
Laurentin Cosmos - Gender Equality through fashion,Fashion,Fashion,2017/07/23,2017-08-23,failed,6,DK,1036.49,95236.58
Zekiah EP Project,Blues,Music,2017/07/23,2017-08-22,failed,1,US,25,1000
FootSlide - Slide Standing Up!,Games,Games,2017/07/23,2017-08-22,failed,8,US,1574,32000
Bloodlines,Fiction,Publishing,2017/07/23,2017-08-22,failed,0,CA,0,2798.21
Animals On Web (shelter-on-web),Animals,Photography,2017/07/23,2017-08-22,failed,2,BE,83.84,3542.41
Feminist/ Anti Period Shaming Enamel Badges,Accessories,Fashion,2017/07/23,2017-08-22,failed,8,GB,198.76,1282.31
"Xavier Xerxes ""Integrate"" Album Project",Metal,Music,2017/07/23,2017-08-22,successful,9,US,390,250
Middle of Somewhere (Web Series),Webseries,Film & Video,2017/07/23,2017-08-22,failed,14,US,916,5000
3D marketplace for models and services,3D Printing,Technology,2017/07/23,2017-08-22,failed,3,DE,135.79,23616.1
Ape_XNation Brand Apparel,Apparel,Fashion,2017/07/23,2017-08-22,failed,2,US,76,20000
"Evolutive Reaction FREE webcomic, 2nd volume needs your help",Webcomics,Comics,2017/07/23,2017-08-22,failed,1,MX,28.33,73646.05
Save Democracy! With Conference Calls!,Audio,Journalism,2017/07/23,2017-08-22,successful,256,US,23401,21880
"Chad Elliott ""RINGGOLD"" and Sun Studio Albums Fundraiser",Country & Folk,Music,2017/07/23,2017-08-22,successful,170,US,23560,20000
Bumper Guardia: A car Bumper protector,Technology,Technology,2017/07/23,2017-08-22,failed,3,US,7,5000
Hallquistwatches,Product Design,Design,2017/07/23,2017-08-22,failed,39,NO,18655.64,25592.14
"""For Colored Girls...""",Plays,Theater,2017/07/23,2017-08-22,failed,14,US,491,3500
Stories While They Waited 2,Nonfiction,Publishing,2017/07/23,2017-08-22,successful,167,GB,6631.24,2849.3
Escape and Return,Art,Art,2017/07/23,2017-08-22,successful,38,GB,1363.1,1102.79
AirTVision,Apps,Technology,2017/07/23,2017-08-22,failed,1,US,21,80000
Mid Florida's Mid Century Modern Architecture,Documentary,Film & Video,2017/07/23,2017-08-22,failed,20,US,1851,48000
The teaching food truck,Food Trucks,Food,2017/07/23,2017-08-22,failed,1,US,40,1200
GLU Game Hub,Video Games,Games,2017/07/23,2017-08-22,failed,13,GB,834.79,6921.93
BADDY - Open Source Badminton Robot!,Robots,Technology,2017/07/23,2017-08-22,failed,27,FR,9816.03,59040.24
Thought Bubbles - The Card Game,Playing Cards,Games,2017/07/23,2017-08-22,successful,138,SG,4288.45,551.59
3 BOBS ADEVENTURE,Video Games,Games,2017/07/23,2017-08-22,failed,2,MX,56.65,16995.24
SAA Dispenser - World's Simplest Soda Dispenser.,Food,Food,2017/07/23,2017-08-22,failed,2,US,71,5000
Tales From The Comic Book Crack Down,Theater,Theater,2017/07/23,2017-08-22,failed,20,US,1305,10000
GLU Game Hub,Video Games,Games,2017/07/23,2017-08-22,canceled,0,GB,0,128231.43
"Production of the Film noir piece ""An Affair Remains""",Shorts,Film & Video,2017/07/23,2017-08-21,failed,16,US,1280,7800
S.T.O.R.M FORCE A COMING WAR Comic Series,Comic Books,Comics,2017/07/23,2017-08-21,canceled,2,US,121,10000
"MOON™,the right side! iPhone & iPad stand (Patented)",Product Design,Design,2017/07/23,2017-08-21,failed,38,IT,4458.72,11808.05
Sinus Melody Octave,Electronic Music,Music,2017/07/23,2017-08-21,canceled,0,DE,0,590.4
Regional MexicAntro: Eurodance meets Mexican,Latin,Music,2017/07/23,2017-08-20,failed,0,MX,0,27124.35
BEHOLD! The Majestic Uni-Rex!,Apparel,Fashion,2017/07/23,2017-08-20,failed,6,US,212,2000
Three Movies: A Meta-Short Film,Shorts,Film & Video,2017/07/23,2017-08-19,successful,14,US,855,600
You are more beautiful than you know,Children's Books,Publishing,2017/07/23,2017-08-15,successful,175,US,9491,8500
20 new URBN LOVE cities for your city adventure love,Graphic Design,Design,2017/07/23,2017-08-14,successful,40,DE,2110.85,587
Hell's Gate - A Short Horror Film,Horror,Film & Video,2017/07/23,2017-08-12,failed,4,US,55,1250
Shaking baby syndrome,Documentary,Film & Video,2017/07/23,2017-08-07,failed,3,US,60,3500
"""My Subscriptions"" App",Apps,Technology,2017/07/23,2017-08-06,failed,7,DK,36.54,2372.93
EYE-TO-EYE Flashcards: Gender and Sex Edition,Academic,Publishing,2017/07/23,2017-08-02,successful,57,US,8885,8800
FRESH STREAM TV - A NEW VOICE To DRAIN THE MSM SWAMP!,Television,Film & Video,2017/07/22,2017-09-20,failed,0,US,0,50000
"Covfefe, the Unpresidented Game of Political Leadership",Playing Cards,Games,2017/07/22,2017-09-20,failed,11,US,369,5000
RECKLESS D,Rock,Music,2017/07/22,2017-09-20,failed,0,CA,0,20376.56
My Keepers App to Build Communities of Color,Web,Technology,2017/07/22,2017-09-20,failed,1,US,10,38500
FIRST AID SAGA,Video Games,Games,2017/07/22,2017-09-20,failed,7,BE,127.98,239220.14
Sami's Foundation,Food,Food,2017/07/22,2017-09-20,canceled,2,US,50,1500
BAYA Towel | Hands Free Fall Resistant Bath Towel,Product Design,Design,2017/07/22,2017-09-10,failed,7,US,320,14500
The Haunted House 2,Immersive,Theater,2017/07/22,2017-09-05,failed,3,US,102,35000
Duo. World's Smallest SD Card Reader for new MacBook Pro,Gadgets,Technology,2017/07/22,2017-09-05,failed,17,US,632,12000
The Ghost Planet - A gamebook where YOU are the hero (EN/FR),Games,Games,2017/07/22,2017-09-05,successful,26,FR,630.74,482.4
WiCarL: Replace your NXT/EV3 Brick for making RC lego cars,Robots,Technology,2017/07/22,2017-09-05,failed,12,US,905,1500
Past Life Oracle Deck,Playing Cards,Games,2017/07/22,2017-09-05,failed,8,US,367,3500
Wayne's Artisan Cheesecakes,Small Batch,Food,2017/07/22,2017-09-05,failed,2,US,31,25000
Impendit | The Future of Dining in the Hands of the People,Apps,Technology,2017/07/22,2017-09-05,canceled,4,CA,2536.61,20683.38
Guitarra Flamenca para el mundo,Music,Music,2017/07/22,2017-08-31,failed,12,ES,603.15,8343.96
Y Sioe Cneifo,Musical,Theater,2017/07/22,2017-08-31,successful,71,GB,2757.5,2589.2
Event Decorator & Engraver,Product Design,Design,2017/07/22,2017-08-31,canceled,4,US,245,25000
"24"" x 12"" Laser Cutter/Engraver by Light Phase Technologies",Fabrication Tools,Technology,2017/07/22,2017-08-29,canceled,22,US,20192,50000
The dawn of a new age (A Blake Arterius story),Fiction,Publishing,2017/07/22,2017-08-26,failed,4,US,40,1000
Tap2Grade - Grade Your Students Fast and Easy,Apps,Technology,2017/07/22,2017-08-26,failed,5,SE,54.21,5659.52
Keepers of the Newbicon Galaxy online video game,Video Games,Games,2017/07/22,2017-08-26,failed,5,US,150,500000
Indie Invasion,Music,Music,2017/07/22,2017-08-25,successful,61,US,4110,4000
Universal Soul Series,Painting,Art,2017/07/22,2017-08-24,failed,0,US,0,13333
"Philmac's 20th Anniversary Release of ""P-Funk"" on Vinyl",Hip-Hop,Music,2017/07/22,2017-08-23,failed,2,US,35,1500
Lily Pond,Children's Books,Publishing,2017/07/22,2017-08-23,canceled,63,US,3540.75,15000
Mushroom Heart Enamel Pins,Accessories,Fashion,2017/07/22,2017-08-22,successful,13,US,291,270
Inuit art and tool recreation,Art,Art,2017/07/22,2017-08-22,failed,16,CA,1359.93,43971.86
BEASTLY IDIOTS,Pop,Music,2017/07/22,2017-08-22,failed,4,CA,72.75,7994.88
Muzique- A Unique Creative Arts Therapies Company,Music,Music,2017/07/22,2017-08-21,failed,0,US,0,2500
Dungeons of Doom III - Dragon Slayers - Star Hat Miniatures,Tabletop Games,Games,2017/07/22,2017-08-21,successful,145,NZ,13141.87,721.6
Painting Canals of Western Europe,Painting,Art,2017/07/22,2017-08-21,successful,29,US,2575,2500
Pur de Chance Fashion Streetwear,Fashion,Fashion,2017/07/22,2017-08-21,failed,0,US,0,20000
Slice of New York,Ready-to-wear,Fashion,2017/07/22,2017-08-21,failed,3,US,233,10000
Dark Aardvark T-Shirts,Apparel,Fashion,2017/07/22,2017-08-21,failed,3,US,187,800
ART PILGRIMAGE WITH EASEL AND COLORS FRANCE THROUGH SPAIN,Art,Art,2017/07/22,2017-08-21,failed,0,US,0,4225
The Prism: A unique dice tower and rolling surface!,Tabletop Games,Games,2017/07/22,2017-08-21,failed,23,US,1693,5000
When Skies Are Grey EP // Kelly Bransford,Music,Music,2017/07/22,2017-08-21,successful,54,US,3145,3000
Instituto musical Guitar lab mx,World Music,Music,2017/07/22,2017-08-21,failed,0,MX,0,11330.16
Support new upcoming musician lil navii,Music,Music,2017/07/22,2017-08-21,failed,0,CA,0,799.49
The Silly Friends Drawing Game,Tabletop Games,Games,2017/07/22,2017-08-21,failed,15,US,1102,8000
ColorWays - app icon organizer,Apps,Technology,2017/07/22,2017-08-21,failed,6,US,14,3000
Posturea - Perfect posture at work,Wearables,Technology,2017/07/22,2017-08-21,failed,75,IT,4294.59,23616.1
1879 London Adventure and Sourcebook,Tabletop Games,Games,2017/07/22,2017-08-21,successful,133,US,9168,7500
"Bigfoot,Will You Survive?",Video Games,Games,2017/07/22,2017-08-21,failed,4,GB,121.82,44881
TC-9 Divers Watch. Free second bezel to choose your look,Design,Design,2017/07/22,2017-08-21,successful,109,GB,32189.94,16028.93
The One Dollar Art Book!,Illustration,Art,2017/07/22,2017-08-21,failed,3,US,11,500
"Mistress La'Strange ""GET PLUGGED!!!""",DIY,Crafts,2017/07/22,2017-08-21,failed,2,AU,19.79,13889.99
Gabriel Payne Clothing,Apparel,Fashion,2017/07/22,2017-08-21,failed,0,US,0,500
Cult Classic: Japanese Horror Enamel Pin Set,Accessories,Fashion,2017/07/22,2017-08-21,successful,55,AU,1001.19,527.11
Peacemaking 4 Public Schools - A Living Aikido Life Project,Documentary,Film & Video,2017/07/22,2017-08-21,failed,11,US,650,5000
Chess Workshops for the Underserved,Tabletop Games,Games,2017/07/22,2017-08-21,successful,26,US,579,100
Modern Forge - Custom crafted Damascus rings,Jewelry,Fashion,2017/07/22,2017-08-21,canceled,5,US,340,2000
THAT'S A BURGER,Restaurants,Food,2017/07/22,2017-08-21,failed,2,US,45,15000
Find Fran - Australia's first on demand sitter/nanny app,Apps,Technology,2017/07/22,2017-08-21,failed,1,AU,15.83,11871.78
Eris Watch Company - New Series 1,Accessories,Fashion,2017/07/22,2017-08-21,failed,5,SG,1795.98,36772.82
For All the Moments That Come After...,Young Adult,Publishing,2017/07/22,2017-08-21,failed,15,US,2500,7500
"Speakeasy: find the door, say the word and get in the club!",Drinks,Food,2017/07/22,2017-08-21,failed,0,IT,0,100368.41
The Redefined Detour Theory,Plays,Theater,2017/07/22,2017-08-21,failed,0,US,0,20000
TheOregonTrend Souvenir Store,Accessories,Fashion,2017/07/22,2017-08-21,canceled,0,US,0,6000
Paradox,Video Games,Games,2017/07/22,2017-08-21,canceled,8,US,111,5000
Support the end of financial inequality!,Apparel,Fashion,2017/07/22,2017-08-21,failed,1,US,50,2000
Lose a job...start a food cart (door closes window opens),Food,Food,2017/07/22,2017-08-21,failed,5,US,57,2000
MC WitchCraft,Video Games,Games,2017/07/22,2017-08-21,canceled,2,US,20,30000
Angry Wolf Enamel Pins,Accessories,Fashion,2017/07/22,2017-08-21,failed,23,US,414,850
"22 Clothing: ethical, sustainable and high-performance.",Apparel,Fashion,2017/07/22,2017-08-21,successful,301,US,29663,22000
ZipSocket,Hardware,Technology,2017/07/22,2017-08-21,failed,35,US,1920,75000
Roller Derpz Enamel Pins,Accessories,Fashion,2017/07/22,2017-08-21,successful,34,US,833,550
Birdie Buckets!,Live Games,Games,2017/07/22,2017-08-21,failed,41,US,4115,12000
DARK PORTAL SAGA,Publishing,Publishing,2017/07/22,2017-08-21,failed,0,US,0,300000
XXXREVIEWS Presents: The YouTube Show that Rates Pornstars,Video Art,Art,2017/07/22,2017-08-20,canceled,1,US,4,4000
I NEED A BAD BOY,Music Videos,Film & Video,2017/07/22,2017-08-20,failed,0,US,0,25000
The Memory Kit,Technology,Technology,2017/07/22,2017-08-19,canceled,29,US,5945,20000
The Official Signal,Wearables,Technology,2017/07/22,2017-08-19,failed,50,SG,1795.98,7354.56
Ultralight Gyrocopter Aircraft Open Cockpit FAR103 Compliant,Flight,Technology,2017/07/22,2017-08-19,failed,1,US,1,54600
Conquerors,Film & Video,Film & Video,2017/07/22,2017-08-18,successful,25,US,1081,1000
Glances - An app that recognizes people in seconds,Apps,Technology,2017/07/22,2017-08-18,failed,9,IT,3658.18,23479.97
pride and inspiration to every sports fan in the world.,Apparel,Fashion,2017/07/22,2017-08-16,failed,0,CA,0,47404.6
SUBDELTA Blue Ace | high end 42mm pilot's watch | Dutch Made,Jewelry,Fashion,2017/07/22,2017-08-15,failed,2,NL,2994.87,5869.99
The Human Beings issue three,Comic Books,Comics,2017/07/22,2017-08-12,successful,97,GB,1570.83,643.72
Battle For The Purple Islands,Tabletop Games,Games,2017/07/22,2017-08-11,successful,174,US,1564,1000
dapper bunny: enamel pins,Accessories,Fashion,2017/07/22,2017-08-11,canceled,3,US,41,500
Fantasy Bottles Enamel Pins!,Accessories,Fashion,2017/07/22,2017-08-11,successful,143,US,6588,800
Epic pokemon stickers,Illustration,Art,2017/07/22,2017-08-11,failed,2,MX,12.5,188.94
Sons of Fannin Finishing up New Record,Rock,Music,2017/07/22,2017-08-06,successful,13,US,1000,1000
The #FlavorTrain,Food,Food,2017/07/22,2017-08-06,failed,2,US,80,1200
This One Breath: A Poetry Book,Poetry,Publishing,2017/07/22,2017-08-05,successful,41,US,2043.77,2000
Team Woo Hoo! - Pedal Tavern for Red Bull Flugtag Nashville,Performance Art,Art,2017/07/21,2017-09-19,successful,9,US,560,500
"Secrets in the Woods (when love, murder & power is involved)",Publishing,Publishing,2017/07/21,2017-09-19,failed,0,US,0,12000
Reopening The Farm,Food,Food,2017/07/21,2017-09-19,failed,4,US,240,7500
Trumpty Dumpty Song,Rock,Music,2017/07/21,2017-09-19,failed,12,US,350,2000
"The ""REBORN From Above"" Online Staged Film.",Romance,Film & Video,2017/07/21,2017-09-19,failed,2,US,51,4000
"Isaac Cohen - ""Sambi Goes Shopping""",Children's Books,Publishing,2017/07/21,2017-09-19,failed,0,US,0,2000
TOM (Time of Month) Chocolate Protein & Nutrient Shake,Drinks,Food,2017/07/21,2017-09-19,failed,3,US,60,30000
Help me turn this 19th Century Home into a Bed & Breakfast,Farms,Food,2017/07/21,2017-09-19,failed,3,US,70,5000
Penelope Isles need a new van! Help us!,Rock,Music,2017/07/21,2017-09-19,successful,90,GB,5024.29,4748.85
"THE MOST SPECIAL THING,...IN THE WORLD",Product Design,Design,2017/07/21,2017-09-19,failed,2,US,13,300000
IBOI - Internet Books Open Index,Publishing,Publishing,2017/07/21,2017-09-19,canceled,6,IT,193.77,3588.3
Tesoco Nuevo: tierra de jaguares/land of jaguars,Documentary,Film & Video,2017/07/21,2017-09-19,successful,50,MX,4673.31,4494.38
Handcrafted for Millennials and Fashionistas: Pockey Wallets,Product Design,Design,2017/07/21,2017-09-19,successful,66,SG,5419.29,3716.09
Educational Film on Child Marriage,Documentary,Film & Video,2017/07/21,2017-09-19,failed,2,US,11,891000
"""Peace, Love and Dream” International Vocal Project",Pop,Music,2017/07/21,2017-09-19,failed,0,US,0,50000
Enganchadoos,Fashion,Fashion,2017/07/21,2017-09-14,failed,2,MX,113.2,848.99
Student Feature Film Blood Money,Drama,Film & Video,2017/07/21,2017-09-09,failed,2,US,26,1000
iProtect - The First (patented) Silicon Base Wireless Light,Technology,Technology,2017/07/21,2017-09-04,canceled,37,GB,2875.34,26427.76
Coffee Shop: Bloom Cafe and Listening Room in Bristol TN,Drinks,Food,2017/07/21,2017-09-04,canceled,34,US,3592,30000
The FIRST MOON STEP WATCH,Product Design,Design,2017/07/21,2017-09-03,canceled,8,US,903,100000
Landing page generator,Web,Technology,2017/07/21,2017-09-01,canceled,0,IT,0,2383.99
DAME kigurumi project,Art,Art,2017/07/21,2017-09-01,successful,30,GB,13314.95,3883.8
Forsaken world series BERSERKER,Fiction,Publishing,2017/07/21,2017-09-01,failed,4,NZ,150.45,358.22
Diesel Demolition Derby,Tabletop Games,Games,2017/07/21,2017-08-31,successful,787,US,26566,10000
Santa's Shooting Star: A New Christmas Tradition,Children's Books,Publishing,2017/07/21,2017-08-31,successful,83,US,7558,7500
Easycube : Freely Assembled Electronic Toy Cubes,Technology,Technology,2017/07/21,2017-08-30,canceled,8,US,813,100000
Descenso- A procedural Lovecraftian/Cthuluidean videogame,Video Games,Games,2017/07/21,2017-08-30,failed,28,ES,1029.88,4171.98
The Do-It-Yourself Dungeon Kit,Tabletop Games,Games,2017/07/21,2017-08-28,canceled,3,US,351,1000
Finer Future - Creating an Economy in Service to Life,Nonfiction,Publishing,2017/07/21,2017-08-28,successful,100,US,30945,30000
Argent: the Consortium - 2nd Ed.,Tabletop Games,Games,2017/07/21,2017-08-28,successful,3030,US,178404,100000
"Cassandre McKinley's ""AIN'T THAT LOVE"" Full Album",Music,Music,2017/07/21,2017-08-28,successful,122,US,19890,16500
The World's first Biocase for your Smartphone,Product Design,Design,2017/07/21,2017-08-27,failed,62,CH,4203.91,50009.38
SayYes CareerPlanner: First Notebook to Charge your Phones,Product Design,Design,2017/07/21,2017-08-27,failed,22,US,1246,12000
Giant Gummy Worm,Food,Food,2017/07/21,2017-08-27,failed,2,AU,93.64,15870.5
Rob Corcoran & Necessary Evils - Debut Album Pre-Sale,Indie Rock,Music,2017/07/21,2017-08-26,successful,115,GB,3179.53,2589.2
CAYO,Film & Video,Film & Video,2017/07/21,2017-08-25,successful,72,MX,3908.91,3682.3
Fit Out Kitchen of For Fuk Sake: New Bar on Kingsland Road,Drinks,Food,2017/07/21,2017-08-25,failed,12,GB,1154.08,12823.14
You Got Stuck!,Live Games,Games,2017/07/21,2017-08-25,successful,38,US,3052,3000
- PERFECT UP - un cómic inspirado en la PumpItUp,Graphic Novels,Comics,2017/07/21,2017-08-25,successful,51,MX,2439.38,2266.03
Awaken: A Meditation App for Our Times,Apps,Technology,2017/07/21,2017-08-24,successful,411,US,34098,30000
"Colorlastics: The Crayon, Reinvented.",Crafts,Crafts,2017/07/21,2017-08-24,successful,829,US,28476,12000
Fund Master Plan a New Talk Show for Urban Entrepreneurs,Television,Film & Video,2017/07/21,2017-08-23,failed,12,US,736,5000
Best phone and tablet holder,Gadgets,Technology,2017/07/21,2017-08-23,suspended,199,US,2523,750
City of Montréal Playing Card,Playing Cards,Games,2017/07/21,2017-08-23,canceled,3,CA,57.56,3997.44
A Time Like This: A Hip Hop Lament For America,Hip-Hop,Music,2017/07/21,2017-08-22,successful,250,US,22839,20000
Gabe's,Vegan,Food,2017/07/21,2017-08-21,failed,1,US,25,10000
The Paradise Project,Festivals,Theater,2017/07/21,2017-08-21,failed,9,CA,367.76,5596.42
USB Skull Planter & Lamp,Design,Design,2017/07/21,2017-08-21,successful,29,US,1877,500
Piezoelectric Guitar Strings,Music,Music,2017/07/21,2017-08-20,suspended,0,US,0,1000
Infinite Realms AR,Mobile Games,Games,2017/07/21,2017-08-20,failed,2,US,40,10000
Escuela de Danza,Spaces,Dance,2017/07/21,2017-08-20,failed,0,MX,0,2832.54
Hidden Dreams miniatures,Tabletop Games,Games,2017/07/21,2017-08-20,successful,61,IT,6259.45,2184.49
The Sogu Cooler for 1.0L to 1.5L Bottles. Keep it Cool!,Product Design,Design,2017/07/21,2017-08-20,failed,42,US,1293,60000
VooDon™ Doll Plush Toy,Games,Games,2017/07/21,2017-08-20,failed,10,US,670,27500
Galaxy Radio Theatre Company,Plays,Theater,2017/07/21,2017-08-20,failed,9,US,75,1000
Mysticards: Deck of Ancients,Tabletop Games,Games,2017/07/21,2017-08-20,failed,18,US,585,5000
The First Rule new album and music video,Punk,Music,2017/07/21,2017-08-20,successful,15,US,540,350
Welcome Evil,Comic Books,Comics,2017/07/21,2017-08-20,failed,11,US,97,2500
Escape game fyn,Live Games,Games,2017/07/21,2017-08-20,failed,1,DK,3.33,7936.38
Undefiled novel,Publishing,Publishing,2017/07/21,2017-08-20,failed,0,US,0,5000
The Next Cycle: Guide to Surviving and Thriving when SHTF,Nonfiction,Publishing,2017/07/21,2017-08-20,failed,9,US,555,5000
High Five Books & Boards (A board game arcade),Tabletop Games,Games,2017/07/21,2017-08-20,canceled,3,US,347,2500
Vosteros - The Tabletop RPG,Tabletop Games,Games,2017/07/21,2017-08-20,failed,11,US,240,6000
Honeysuckle by Hannah Hill: Stylish Nursing-Friendly Apparel,Apparel,Fashion,2017/07/21,2017-08-20,failed,52,US,7758,27500
"""New Black Swing"" Fall Tour 2017",R&B,Music,2017/07/21,2017-08-20,failed,181,US,8563,20000
The Acrylic Ranch Video Podcast Live Endeavor,Radio & Podcasts,Publishing,2017/07/21,2017-08-20,failed,6,US,146,500
Ninjas and Robots,Graphic Novels,Comics,2017/07/21,2017-08-20,successful,123,US,6438,3500
THE BRISE PANT : A modern rock climbing pant.,Apparel,Fashion,2017/07/21,2017-08-20,successful,528,CA,74363.61,7994.88
Fading Lands,Painting,Art,2017/07/21,2017-08-20,successful,72,US,4559,3000
Monster Dice: Unique designed monster dice,Tabletop Games,Games,2017/07/21,2017-08-20,canceled,25,HK,4225.85,102265.17
"Victory Comics Z.A.P.I. No Action, Figures ART TOYS & Comics",Sculpture,Art,2017/07/21,2017-08-20,failed,4,US,90,8000
Alliance Wars - Evolution,Mobile Games,Games,2017/07/21,2017-08-20,failed,0,US,0,60000
IT'S SMACK BOSS,Games,Games,2017/07/21,2017-08-20,failed,1,GB,26.93,4488.1
Kaos Fist: Issue 3,Comics,Comics,2017/07/21,2017-08-20,successful,41,US,513,100
Garden of the Gays,Accessories,Fashion,2017/07/21,2017-08-20,failed,13,US,258,406
Diary of a Junkie road to recovery written by:Christa Bailey,Nonfiction,Publishing,2017/07/21,2017-08-20,failed,0,US,0,5000
Applitizer,Software,Technology,2017/07/21,2017-08-20,failed,1,HK,127.83,12783.15
Parody Apparel,Apparel,Fashion,2017/07/21,2017-08-20,failed,0,US,0,1000
A new collection of miniatures 40 mm from Cartoon Miniatures,Tabletop Games,Games,2017/07/21,2017-08-20,successful,197,NL,20576.71,3542.41
"The Casey Jr. Ride's second record ""ERROR #404""",Rock,Music,2017/07/21,2017-08-20,successful,20,DE,1968.4,1889.29
MELODY SHEPPARD - 'TRY' - THE MUSIC VIDEO,Pop,Music,2017/07/21,2017-08-20,successful,69,US,10105,10000
Cerulean,Webseries,Film & Video,2017/07/21,2017-08-20,failed,1,US,100,10000
The Dick Coloring Book: A Strictly Penile Book for Adults,Art Books,Publishing,2017/07/21,2017-08-20,failed,27,US,1809.99,5250
The Wargaming Terrain Collection - STL Files for 3D Printing,Tabletop Games,Games,2017/07/21,2017-08-20,successful,46,US,2207,2000
Affordable 100% Biodegradable & Organic Charcoal Toothbrush,Design,Design,2017/07/21,2017-08-20,failed,13,US,148,5000
Crêpes,Drama,Film & Video,2017/07/21,2017-08-20,successful,40,GB,4072.63,3846.94
Mr. Dash’s Inspiration: get inspired and motivated!,Graphic Design,Design,2017/07/21,2017-08-20,successful,43,GB,4517.59,1923.47
Skullice - Does it scare you?,Tabletop Games,Games,2017/07/21,2017-08-20,successful,10,NL,179.48,118.08
The Hatch (Horror Survival/Hunting Video Game),Video Games,Games,2017/07/21,2017-08-20,failed,6,GB,262.87,23081.66
The Heroine Standard,Nonfiction,Publishing,2017/07/21,2017-08-20,failed,5,CA,166.29,399.74
Hot Tag Apparel Co. Startup,Apparel,Fashion,2017/07/21,2017-08-20,failed,1,US,50,3500
D'LIGHT : Kinetic Lighting -Transformable Lampshade,Product Design,Design,2017/07/21,2017-08-20,successful,107,US,56670,50000
Natural Market Garden (Organic),Farms,Food,2017/07/21,2017-08-20,failed,1,GB,1.28,22440.5
The Z Strain,Journalism,Journalism,2017/07/21,2017-08-20,failed,3,US,200,5000
Crash Annual 2018 - The next chapter,Publishing,Publishing,2017/07/21,2017-08-20,successful,1784,GB,60256.03,15387.77
Druiser: Palm Sized Wireless Underwater Drone,Technology,Technology,2017/07/21,2017-08-20,canceled,51,SG,6874.31,22063.69
2016-17 Creighton Bluejays Sports Yearbook,Web,Journalism,2017/07/21,2017-08-20,successful,87,US,5135,5000
Cafemaker Latte Art Printer& second generation,3D Printing,Technology,2017/07/21,2017-08-20,suspended,1,ES,1.18,59040.24
RetroBall: Build-It-Yourself Pixel Fun For Upto Four Players,DIY Electronics,Technology,2017/07/21,2017-08-20,successful,218,AU,20108.43,7914.52
Help Us Re-launch The Wright Report News,Print,Journalism,2017/07/21,2017-08-20,failed,1,US,1,560
Epitasis,Video Games,Games,2017/07/21,2017-08-20,successful,555,US,13677.14,11650
Martial Arts Training Pass (MATpass.com),Web,Technology,2017/07/21,2017-08-20,failed,1,US,100,25000
Reliable Swiss Watch for everyday use. 10 years battery life,Accessories,Fashion,2017/07/21,2017-08-20,failed,1,US,79,20000
The Beauties of Upstate NY,Nature,Photography,2017/07/21,2017-08-20,failed,0,US,0,2000
KomodoDash,Mobile Games,Games,2017/07/21,2017-08-20,failed,1,US,75,2750
The One - Sally's Song - Music Video,Music Videos,Film & Video,2017/07/21,2017-08-20,failed,25,US,1166,3500
Grief Encounters,Animation,Film & Video,2017/07/21,2017-08-20,successful,422,US,146720,120000
Brocade Textiles Chicago's Unique Fabric Store,Fashion,Fashion,2017/07/21,2017-08-20,failed,0,US,0,5000
Minimalist Automatic Watches Without the Luxury Markup,Product Design,Design,2017/07/21,2017-08-20,canceled,91,SG,15172.46,25740.97
Aster (Volume 1),Graphic Novels,Comics,2017/07/21,2017-08-20,failed,1,US,55,3000
MM RIG Frameworks,Fabrication Tools,Technology,2017/07/21,2017-08-19,failed,2,NL,249.15,5904.02
We're Taking Creativity to the Streets & Schools.,Art,Art,2017/07/21,2017-08-18,failed,2,US,35,3000
I Love Vapor,Photobooks,Photography,2017/07/21,2017-08-18,failed,3,US,79,10000
Cigarette Killer Ends the Nightmare for Thousands of Smokers,Festivals,Film & Video,2017/07/21,2017-08-16,canceled,0,US,0,25000
The Nelson Holder - A Water Bottle Carabiner Mount,Design,Design,2017/07/21,2017-08-15,successful,109,US,2153,750
Hweeqo's First Album,Electronic Music,Music,2017/07/21,2017-08-15,successful,59,US,6962,6800
FoxFire Stones Jewelry,Jewelry,Fashion,2017/07/21,2017-08-15,failed,4,US,57,600
